SNAPSHOT,SNAPFILE,SNAPPEND,SNAPCLOS,CASEKEY,CIRCUIT,DISTRICT,OFFICE,DOCKET,GEN,SEQ,ORIGIN,ORGFLDT,FILEDATE,FILECY,FILEFY,ORGFLCHP,CRNTCHP,ORGNTRDBT,NTRDBT,JOINT,D1ZIP,D1CNTY,ORGD1FPRSE,D1FPRSE,D1CHGDT,D2ZIP,D2CNTY,ORGD2FPRSE,D2FPRSE,D2CHGDT,ORGFEESTS,FEESTS,CASETYP,ORGDBTRTYP,DBTRTYP,NOB,PRFILE,ORGEASST,EASST,ORGELBLTS,ELBLTS,ORGECRDTRS,ECRDTRS,ORGASSTCASE,ASSTCASE,SMLLBUS,PREPACK,TOTASSTS,REALPROP,PERSPROP,TOTLBLTS,SECURED,UNSECPR,UNSECNPR,DSCHRGD,NDSCHRGD,TOTDBT,CNTMNTHI,AVGMNTHI,AVGMNTHE,SRCCASE,DSTNCASE,CNSLLEAD,JNTLEAD,FLCMECFV,CLOSEDT,CLOSECY,CLOSEFY,CLCHPT,D1CPRSE,D1FDSP,D1FDSPDT,D1FDSPCY,D1FDSPFY,D2CPRSE,D2FDSP,D2FDSPDT,D2FDSPCY,D2FDSPFY,C11DVDND,C11FTRPAY,CLCMECFV,TAXEXEMPT,org_chap,crnt_chap,cl_chap,result,result2,DISTRICT_NS
2008-09-30,1,0,1,01011081403200,01,01,1,0814032,0,0,,NA,2008-06-02,2008,2008,12,12,b,b,n,026430000,25001,n,n,2008-06-02,,,,,NA,p,p,v,i,i,n,n,A,A,A,A,A,A,y,y,,,2845700,2800000,45700,4053408.22,3959759.17,0,93649.05,4053408.22,0,4053408.22,0,0,0,,,,,0.0.0,2008-08-07,2008,2008,12,n,K,NA,NA,NA,,,NA,NA,NA,NA,,0.0.0,N,12,12,12,dismiss,,MA
2008-09-30,1,1,0,01013083128100,01,01,3,0831281,0,0,,NA,2008-09-02,2008,2008,12,12,b,b,n,010130000,25013,n,n,2008-09-02,,,,,NA,p,p,v,u,u,n,n,D,D,E,E,B,B,y,y,,,1151561.7,800000,351561.7,2832893.99,1714500,33569.34,1084824.65,NA,NA,NA,NA,NA,NA,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,MA
2008-09-30,1,0,1,01021071277200,01,02,1,0712772,0,0,,NA,2007-12-12,2007,2008,12,12,b,b,n,038940000,33003,y,y,NA,,,,,NA,p,p,v,i,i,n,y,G,G,G,G,A,A,y,y,,,2981000,2840000,141000,1220153.05,1170819,10487.86,38846.19,0,0,0,0,13000,21867,,,,,0.0.0,2008-09-10,2008,2008,12,y,I,NA,NA,NA,,,NA,NA,NA,NA,,0.0.0,N,12,12,12,dismiss,,NH
2008-09-30,1,1,0,01043070688400,01,04,3,0706884,0,0,,NA,2007-11-26,2007,2008,12,12,b,b,y,009760000,72031,n,n,NA,009760000,72031,n,n,NA,p,p,v,i,i,n,n,C,C,C,C,A,A,y,y,,,570934,275000,295934,387399.57,323316.61,2500,61582.96,384899.57,2500,387399.57,0,4839.37,4595,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,PR
2008-09-30,1,0,1,01043070692700,01,04,3,0706927,0,0,,NA,2007-11-27,2007,2008,12,12,b,b,y,006700000,72083,n,n,2007-11-27,006700000,72083,n,n,2007-11-27,p,p,v,i,i,n,n,C,C,C,C,A,A,y,y,,,576579,515000,61579,297522,254245,0,43277,0,297522,297522,0,1500,1500,,,,,0.0.0,2008-08-04,2008,2008,12,n,K,NA,NA,NA,n,,NA,NA,NA,NA,,0.0.0,N,12,12,12,dismiss,,PR
2008-09-30,1,0,1,01043070705900,01,04,3,0707059,0,0,,NA,2007-11-30,2007,2008,12,12,b,b,n,006590000,72065,n,n,NA,,,,,NA,p,p,v,i,i,n,n,D,D,D,D,A,A,y,y,,,3020925,1572000,1448925,2419846.99,2347130,0,72716.99,0,2419846.99,2419846.99,31790,0,0,,,,,0.0.0,2008-07-31,2008,2008,12,n,H,NA,NA,NA,,,NA,NA,NA,NA,,0.0.0,N,12,12,12,dismiss,,PR
2008-09-30,1,1,0,01043070744500,01,04,3,0707445,0,0,,NA,2007-12-19,2007,2008,12,12,b,b,y,006850000,72131,n,n,2007-12-19,006850000,72131,n,n,NA,p,p,v,i,i,n,n,E,E,D,D,A,A,y,y,,,1791809,881105,910704,647293.1,589087,0,58206.1,0,647293.1,647293.1,0,9170,7155,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,PR
2008-09-30,1,1,0,01043070744700,01,04,3,0707447,0,0,,NA,2007-12-19,2007,2008,12,12,b,b,n,006850000,72131,n,n,2007-12-19,,,,,2007-12-26,p,p,v,i,i,n,n,C,C,C,C,A,A,y,y,,,475700,0,475700,473589.06,417893,0,55696.06,0,473589.06,473589.06,0,11000,7816,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,PR
2008-09-30,1,1,0,01043070754400,01,04,3,0707544,0,0,,NA,2007-12-24,2007,2008,12,12,b,b,y,007050000,72009,n,n,NA,007050000,72009,n,n,NA,p,p,v,i,i,n,n,C,C,C,C,A,A,y,y,,,376905,350000,26905,359900,324000,0,35900,359900,0,359900,0,5327,4992,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,PR
2008-09-30,1,0,1,01043080031700,01,04,3,0800317,0,0,,NA,2008-01-23,2008,2008,12,12,b,b,n,006850000,72131,n,n,2008-01-23,,,,,NA,p,p,v,i,i,n,n,,E,,E,A,A,y,y,,,1680100,1615000,65100,1525079,1356952,0,168127,0,1525079,1525079,0,22000,20580,,,,,0.0.0,2008-08-04,2008,2008,12,n,K,NA,NA,NA,,,NA,NA,NA,NA,,0.0.0,N,12,12,12,dismiss,,PR
2008-09-30,1,1,0,01043080031800,01,04,3,0800318,0,0,,NA,2008-01-23,2008,2008,12,12,b,b,n,006850000,72131,n,n,2008-01-23,,,,,NA,p,p,v,i,i,n,n,,E,,E,A,A,y,y,,,2529600,1900000,629600,2254000,1936000,0,318000,0,2254000,2254000,0,0,0,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,PR
2008-09-30,1,1,0,01043080044800,01,04,3,0800448,0,0,,NA,2008-01-29,2008,2008,12,12,b,b,y,006850000,72131,n,n,2008-01-29,006850000,72131,n,n,NA,p,p,v,i,i,n,n,,E,,E,A,A,y,y,,,221180960,220000000,1180960,1980987.12,1957000,0,23987.12,0,1980987.12,1980987.12,0,20780,16950,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,PR
2008-09-30,1,0,1,01043080054800,01,04,3,0800548,0,0,,NA,2008-01-31,2008,2008,12,12,b,b,n,006010000,72001,n,n,2008-02-01,,,,,NA,p,p,v,i,i,n,y,,C,,C,A,A,y,y,,,174375,160000,14375,158613.04,40000,0,118613.04,NA,NA,NA,NA,2900,2230,,,,,0.0.0,2008-07-23,2008,2008,12,n,K,NA,NA,NA,,,NA,NA,NA,NA,,0.0.0,N,12,12,12,dismiss,,PR
2008-09-30,1,0,1,01043080110800,01,04,3,0801108,0,0,,NA,2008-02-27,2008,2008,12,12,b,b,y,007820000,72045,n,n,2008-02-27,007820000,72045,n,n,NA,p,p,v,i,i,n,n,,D,,D,A,A,y,y,,,1452500,1034000,418500,1610888,1557627,0,53261,1610888,0,1610888,0,15691,15091,,,,,0.0.0,2008-08-27,2008,2008,12,n,A,NA,NA,NA,n,,NA,NA,NA,NA,,0.0.0,N,12,12,12,discharge,,PR
2008-09-30,1,1,0,01043080164000,01,04,3,0801640,0,0,,NA,2008-03-18,2008,2008,12,12,b,b,y,006130000,72013,n,n,2008-03-18,006130000,72013,n,n,NA,p,p,v,i,i,n,n,D,D,D,D,A,A,y,y,,,969580,40300,929280,971555.52,917955.52,0,53600,971555.52,0,971555.52,0,30950,26944,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,PR
2008-09-30,1,0,1,01043080178600,01,04,3,0801786,0,0,,NA,2008-03-26,2008,2008,12,12,b,b,n,006850000,72131,n,n,2008-03-26,,,,,NA,p,p,v,i,i,n,n,E,E,E,E,A,A,y,y,,,2595600,1450000,1145600,1865399.62,1761156.22,0,104243.4,0,1865399.62,1865399.62,0,25080,22905,,,,,0.0.0,2008-06-30,2008,2008,12,n,K,NA,NA,NA,,,NA,NA,NA,NA,,0.0.0,N,12,12,12,dismiss,,PR
2008-09-30,1,1,0,01043080201600,01,04,3,0802016,0,0,,NA,2008-04-02,2008,2008,12,12,b,b,n,006410000,72141,n,n,2008-05-23,,,,,NA,p,p,v,i,i,n,n,C,C,C,C,A,A,y,y,,,253325,200000,53325,367787,135297,4175,228315,363612,4175,367787,0,4767,4567,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,PR
2008-09-30,1,1,0,01043080218500,01,04,3,0802185,0,0,,NA,2008-04-10,2008,2008,12,12,b,b,n,007050000,72009,n,n,2008-04-10,,,,,NA,p,p,v,i,i,n,n,D,D,D,D,A,A,y,y,,,1052928,1035178,17750,788724,710724,69000,9000,788724,0,788724,0,24419,9009,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,PR
2008-09-30,1,1,0,01043080239200,01,04,3,0802392,0,0,,NA,2008-04-18,2008,2008,12,12,b,b,y,007380000,72053,n,n,2008-04-18,007380000,72053,n,n,2008-04-18,p,p,v,i,i,n,y,A,A,A,A,A,A,y,y,,,114450,96000,18450,130000,110000,5000,15000,NA,NA,NA,NA,2700,1810,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,PR
2008-09-30,1,1,0,01043080289400,01,04,3,0802894,0,0,,NA,2008-05-06,2008,2008,12,12,b,b,y,006170000,72017,n,n,2008-05-06,006170000,72017,n,n,NA,p,p,v,i,i,n,n,E,E,D,D,A,A,y,y,,,865415,154000,711415,693455.04,449637.7,13018.25,230799.09,693455.04,0,693455.04,0,23400,20819.93,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,PR
2008-09-30,1,1,0,01043080348500,01,04,3,0803485,0,0,,NA,2008-05-31,2008,2008,12,12,b,b,n,006980000,72153,n,n,2008-05-31,,,,,NA,p,p,v,i,i,n,n,C,C,B,B,A,A,y,y,,,418873,210000,208873,86727,81727,0,5000,86727,0,86727,0,1586,1386,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,PR
2008-09-30,1,1,0,01043080429500,01,04,3,0804295,0,0,,NA,2008-07-01,2008,2008,12,12,b,b,n,007690000,72043,n,n,2008-07-02,,,,,NA,p,p,v,i,i,n,n,C,C,C,C,A,A,y,y,,,156475,129750,26725,417765,346000,0,71765,417765,0,417765,1200,2550,2250,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,PR
2008-09-30,1,1,0,01043080456000,01,04,3,0804560,0,0,,NA,2008-07-15,2008,2008,12,12,b,b,n,007050000,72043,n,n,2008-07-15,,,,,NA,p,p,v,i,i,n,n,C,C,C,C,A,A,y,y,,,249475,160000,89475,133353,81817,0,51536,133353,0,133353,0,8963,8583,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,Y,12,12,,open,open,PR
2008-09-30,1,1,0,01043080499900,01,04,3,0804999,0,0,,NA,2008-08-01,2008,2008,12,12,b,b,y,006270000,72027,n,n,2008-08-01,006270000,72027,n,n,NA,p,p,v,i,i,n,n,E,E,E,E,A,A,y,y,,,1255416.99,683000,572416.99,1007129.98,873657.93,1834.29,131637.76,1007129.98,0,1007129.98,0,24298.86,15864,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,PR
2008-09-30,1,1,0,01043080583600,01,04,3,0805836,0,0,,NA,2008-09-05,2008,2008,12,12,b,b,n,006010000,72001,n,n,2008-09-05,,,,,NA,p,p,v,i,i,n,n,C,C,C,C,A,A,y,y,,,159876.5,120000,39876.5,147446.67,135558.51,0,11888.16,147446.67,0,147446.67,NA,3173.58,3153,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,PR
2008-09-30,1,1,0,02052082121500,02,05,2,0821215,0,0,,NA,2008-06-27,2008,2008,12,12,b,b,n,062380000,09013,n,n,2008-07-01,,,,,NA,p,p,v,u,u,n,n,A,A,E,E,A,A,n,n,,,164755,0,164755,1238577.67,694433.04,66854.83,477289.8,1238577.67,0,1238577.67,0,0,0,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,CT
2008-09-30,1,1,0,02052082123700,02,05,2,0821237,0,0,,NA,2008-06-30,2008,2008,12,12,b,b,n,062380000,09013,n,n,2008-06-30,,,,,NA,p,p,v,i,i,n,n,D,D,D,D,A,A,y,y,,,684262.5,650000,34262.5,715561.04,697448.97,0,18112.07,714299.7,1261.34,715561.04,0,4956.67,6953.67,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,CT
2008-09-30,1,1,0,02061081216000,02,06,1,0812160,0,0,,NA,2008-07-01,2008,2008,12,12,b,b,n,120510000,36039,n,n,2008-07-01,,,,,NA,p,p,v,i,i,n,n,E,E,E,E,A,A,y,y,,,1460330.19,352000,1108330.19,2559704.47,1412792.47,0,1146912,0,2559704.47,2559704.47,NA,2411.06,1720,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,NYN
2008-09-30,1,0,1,02066076377400,02,06,6,0763774,0,0,,NA,2007-10-31,2007,2008,12,12,b,b,y,133370000,36077,n,n,2008-03-31,133370000,36077,n,n,2008-03-31,p,p,v,i,i,n,n,D,D,D,D,A,A,y,y,,,1014890,459210,555680,1508220.28,1271737.49,36759.37,199723.42,1471460.91,36759.37,1508220.28,NA,10354,4252,,,,,0.0.0,2008-03-26,2008,2008,12,n,I,NA,NA,NA,n,,NA,NA,NA,NA,,0.0.0,N,12,12,12,dismiss,,NYN
2008-09-30,1,1,0,02066086087300,02,06,6,0860873,0,0,,NA,2008-04-17,2008,2008,12,12,b,b,y,134850000,36053,n,n,2008-04-17,134850000,36053,n,n,2008-04-17,p,p,v,i,i,n,n,D,D,D,D,A,A,y,y,,,626500,310000,316500,708057.52,615574.12,0,92483.4,708057.52,0,708057.52,0,17222.52,16110,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,NYN
2008-09-30,1,1,0,02066086114700,02,06,6,0861147,0,0,,NA,2008-05-14,2008,2008,12,12,b,b,n,134520000,36057,n,n,2008-05-14,,,,,NA,p,p,v,i,i,n,n,C,C,C,C,A,A,y,y,,,63400,17500,45900,436838.18,362000,0,74838.18,436838.18,0,436838.18,2160.67,6635.33,3908,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,NYN
2008-09-30,1,1,0,02066086218700,02,06,6,0862187,0,0,,NA,2008-09-12,2008,2008,12,12,b,b,n,137750000,36025,n,n,2008-09-12,,,,,NA,p,p,v,i,i,n,n,B,B,C,C,A,A,y,y,,,93360,0,93360,213377.85,190000,0,23377.85,109077.85,104300,213377.85,935,3735,3336,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,NYN
2008-09-30,1,1,0,02066086221800,02,06,6,0862218,0,0,,NA,2008-09-17,2008,2008,12,12,b,b,y,138100000,36077,n,n,2008-09-17,138100000,36077,n,n,NA,p,p,v,i,i,n,n,D,D,D,D,A,A,y,y,,,816525,750000,66525,656874.86,543582.08,26327.93,86964.85,656874.86,0,656874.86,0,7197.35,22440,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,NYN
2008-09-30,1,0,1,02091070478000,02,09,1,0704780,0,0,s,NA,2007-11-21,2007,2008,12,7,b,b,y,140110000,36121,n,n,NA,140110000,36121,n,n,2007-11-21,p,p,v,i,i,n,n,C,C,C,C,A,A,n,n,,,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,0.0.0,2008-03-25,2008,2008,7,n,A,NA,NA,NA,n,,NA,NA,NA,NA,,0.0.0,N,12,7,7,discharge,,NYW
2008-09-30,1,1,0,02091081115500,02,09,1,0811155,0,0,,NA,2008-03-21,2008,2008,12,12,b,b,n,145360000,36121,n,n,2008-03-21,,,,,NA,p,p,v,i,i,n,n,D,D,E,E,A,A,y,y,,,595782,391058,204724,1470161,505283,11949,952929,NA,NA,NA,NA,1100,1100,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,NYW
2008-09-30,1,1,0,02091081150500,02,09,1,0811505,0,0,,NA,2008-04-10,2008,2008,12,13,b,b,y,140669787,36121,n,n,2008-04-10,140669787,36121,n,n,NA,p,p,v,i,i,n,n,C,C,C,C,A,A,y,y,,,136424,110800,25624,162016,120057,0,41959,162016,0,162016,0,3988,2203,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,13,,open,open,NYW
2008-09-30,1,1,0,02091081332300,02,09,1,0813323,0,0,,NA,2008-07-28,2008,2008,12,12,b,b,n,140110000,36121,n,n,2008-07-28,,,,,NA,p,p,v,i,i,n,y,C,C,C,C,A,A,y,y,,,290360,240000,50360,326529,292000,3398,31131,NA,NA,NA,NA,2467,2391,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,NYW
2008-09-30,1,1,0,02092082227100,02,09,2,0822271,0,0,,NA,2008-09-02,2008,2008,12,12,b,b,y,148790000,36101,n,n,2008-09-02,148790000,36101,n,n,NA,p,p,v,i,i,n,y,D,D,D,D,A,A,y,y,,,473040,342000,131040,581368,467202,3601,110565,581368,0,581368,0,4612,2261,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,NYW
2008-09-30,1,1,0,02105081048100,02,10,5,0810481,0,0,,NA,2008-05-28,2008,2008,12,12,b,b,n,054870000,50001,n,n,2008-05-28,,,,,NA,p,p,v,i,i,n,n,C,C,D,D,A,A,y,y,,,442174,340000,102174,665955,643624,0,22331,665955,0,665955,0,6500,4575,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,VT
2008-09-30,1,1,0,02105081058400,02,10,5,0810584,0,0,,NA,2008-06-23,2008,2008,12,12,b,b,n,054570000,50011,n,n,2008-06-23,,,,,NA,p,p,v,i,i,n,n,C,C,C,C,A,A,y,y,,,268728,158000,110728,289609,247460,3955,38194,285654,3955,289609,NA,7243,5371,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,VT
2008-09-30,1,1,0,03111071164700,03,11,1,0711647,0,0,,NA,2007-11-05,2007,2008,12,12,b,b,n,199560000,10005,y,y,NA,,,,,NA,p,p,v,u,u,n,n,C,C,C,C,A,A,y,y,,,500000,500000,0,505848.83,500000,5848.83,0,0,0,0,0,0,0,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,DE
2008-09-30,1,1,0,03134082108800,03,13,4,0821088,0,0,,NA,2008-05-22,2008,2008,12,12,b,b,y,180640000,42095,n,n,2008-05-22,180640000,42095,n,n,2008-05-23,p,p,v,i,i,n,n,D,D,D,D,A,A,y,y,,,450962.03,390000,60962.03,660378.26,518760.52,0,141617.74,NA,NA,NA,NA,10200,10163.93,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,PAE
2008-09-30,1,1,0,03141070387100,03,14,1,0703871,0,0,,NA,2007-12-05,2007,2008,12,12,b,b,n,170460000,42043,n,n,2007-12-05,,,,,NA,p,p,v,i,i,n,n,E,E,D,D,A,A,y,y,,,2870902.82,2762500,108402.82,455191.58,431126.34,0,24065.24,455191.58,0,455191.58,0,6422.98,6170,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,PAM
2008-09-30,1,1,0,03145085275300,03,14,5,0852753,0,0,,NA,2008-09-30,2008,2008,12,12,b,b,y,179600000,42107,n,n,NA,179600000,42107,n,n,NA,p,p,v,i,i,n,n,D,D,C,C,B,B,y,y,,,518148.26,312000,206148.26,746385.45,560417.75,48415.04,137552.66,NA,NA,NA,NA,41666,39142,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,PAM
2008-09-30,1,1,0,03152072667900,03,15,2,0726679,0,0,,NA,2007-10-24,2007,2008,12,12,b,b,n,162490000,42005,n,n,NA,,,,,NA,p,p,v,i,i,n,n,,A,,A,A,A,y,y,,,242501.44,165000,77501.44,320281.28,282924.06,2575.19,34782.03,320281.28,0,320281.28,0,2835.37,325,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,PAW
