STATE,DISTRICT,DISTRICT_NS,CIRCUIT,TOTAL_FILINGS,CHAP_7,CHAP_11,CHAP_12,CHAP_13,TOTAL_BUSINESS_FILINGS,BCHAP_7,BCHAP_11,BCHAP_12,BCHAP_13,TOTAL_NON_BUSINESS_FILINGS,NBCHAP_7,NBCHAP_11,NBCHAP_13,QTR_ENDED,DATE,FISCAL_YEAR
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,17692,14635,43,3,3011,166,115,32,3,16,17526,14520,11,2995,09/30/06,2006-09-30,2006
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,27214,20664,83,7,6460,459,331,76,7,45,26755,20333,7,6415,09/30/06,2006-09-30,2006
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,13185,10832,19,3,2331,192,150,17,3,22,12993,10682,2,2309,09/30/06,2006-09-30,2006
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,6646,5884,32,9,721,203,158,22,9,14,6443,5726,10,707,09/30/06,2006-09-30,2006
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,9897,5931,20,15,3931,225,142,19,15,49,9672,5789,1,3882,09/30/06,2006-09-30,2006
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,5865,4028,14,8,1814,117,77,12,8,19,5748,3951,2,1795,09/30/06,2006-09-30,2006
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,3535,3344,5,3,183,192,181,3,3,5,3343,3163,2,178,09/30/06,2006-09-30,2006
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,5588,5112,6,1,469,125,108,6,1,10,5463,5004,0,459,09/30/06,2006-09-30,2006
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,13631,11422,34,3,2170,758,652,28,3,73,12873,10770,6,2097,09/30/06,2006-09-30,2006
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,14319,11015,29,4,3271,155,111,24,4,16,14164,10904,5,3255,09/30/06,2006-09-30,2006
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,14546,11687,30,11,2818,203,139,28,11,25,14343,11548,2,2793,09/30/06,2006-09-30,2006
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,6678,5216,25,26,1410,220,150,21,26,22,6458,5066,4,1388,09/30/06,2006-09-30,2006
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,1726,1598,1,2,125,53,48,1,2,2,1673,1550,0,123,09/30/06,2006-09-30,2006
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,1920,1707,1,3,209,96,79,1,3,13,1824,1628,0,196,09/30/06,2006-09-30,2006
ALASKA,ALASKA,AK,NINTH CIRCUIT,1300,1184,7,0,109,60,49,7,0,4,1240,1135,0,105,09/30/06,2006-09-30,2006
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,17457,15584,149,1,1722,339,190,130,1,17,17118,15394,19,1705,09/30/06,2006-09-30,2006
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,15468,11645,107,0,3714,709,470,70,0,167,14759,11175,37,3547,09/30/06,2006-09-30,2006
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,19526,16907,56,6,2554,581,414,47,6,111,18945,16493,9,2443,09/30/06,2006-09-30,2006
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,41929,38425,286,3,3213,1425,1105,254,3,61,40504,37320,32,3152,09/30/06,2006-09-30,2006
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,8300,7186,42,2,1070,254,201,35,2,16,8046,6985,7,1054,09/30/06,2006-09-30,2006
HAWAII,HAWAII,HI,NINTH CIRCUIT,2233,2016,11,0,205,43,32,9,0,1,2190,1984,2,204,09/30/06,2006-09-30,2006
IDAHO,IDAHO,ID,NINTH CIRCUIT,5865,5108,18,11,728,91,55,14,11,11,5774,5053,4,717,09/30/06,2006-09-30,2006
MONTANA,MONTANA,MT,NINTH CIRCUIT,3246,2935,14,8,289,66,41,12,8,5,3180,2894,2,284,09/30/06,2006-09-30,2006
NEVADA,NEVADA,NV,NINTH CIRCUIT,12759,10535,82,0,2142,214,123,78,0,13,12545,10412,4,2129,09/30/06,2006-09-30,2006
OREGON,OREGON,OR,NINTH CIRCUIT,16236,13717,15,7,2497,629,431,14,7,177,15607,13286,1,2320,09/30/06,2006-09-30,2006
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,5928,4847,17,14,1050,176,111,16,14,35,5752,4736,1,1015,09/30/06,2006-09-30,2006
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,17836,14488,87,3,3256,362,239,68,3,50,17474,14249,19,3206,09/30/06,2006-09-30,2006
GUAM,GUAM,GUAM,NINTH CIRCUIT,220,203,0,0,17,7,7,0,0,0,213,196,0,17,09/30/06,2006-09-30,2006
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,21,21,0,0,0,2,2,0,0,0,19,19,0,0,09/30/06,2006-09-30,2006
COLORADO,COLORADO,CO,TENTH CIRCUIT,22207,20210,76,4,1917,752,636,68,4,44,21455,19574,8,1873,09/30/06,2006-09-30,2006
KANSAS,KANSAS,KS,TENTH CIRCUIT,12179,9820,17,12,2330,248,176,17,12,43,11931,9644,0,2287,09/30/06,2006-09-30,2006
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,5559,5170,28,2,359,303,256,26,2,19,5256,4914,2,340,09/30/06,2006-09-30,2006
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,5395,5026,10,1,358,197,171,10,1,15,5198,4855,0,343,09/30/06,2006-09-30,2006
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,3467,3213,4,2,248,69,58,4,2,5,3398,3155,0,243,09/30/06,2006-09-30,2006
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,10657,9282,14,7,1354,195,167,11,7,10,10462,9115,3,1344,09/30/06,2006-09-30,2006
UTAH,UTAH,UT,TENTH CIRCUIT,10015,7639,32,1,2343,268,197,28,1,42,9747,7442,4,2301,09/30/06,2006-09-30,2006
WYOMING,WYOMING,WY,TENTH CIRCUIT,1611,1490,8,0,113,67,57,6,0,4,1544,1433,2,109,09/30/06,2006-09-30,2006
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,17595,9457,60,1,8077,175,100,48,1,26,17420,9357,12,8051,09/30/06,2006-09-30,2006
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,6001,2673,19,0,3309,68,43,17,0,8,5933,2630,2,3301,09/30/06,2006-09-30,2006
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,4142,2140,21,0,1981,42,26,12,0,4,4100,2114,9,1977,09/30/06,2006-09-30,2006
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,3658,2986,17,0,655,98,77,16,0,5,3560,2909,1,650,09/30/06,2006-09-30,2006
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,31092,23872,153,4,7062,733,541,136,4,51,30359,23331,17,7011,09/30/06,2006-09-30,2006
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,17396,14652,111,0,2633,451,331,100,0,20,16945,14321,11,2613,09/30/06,2006-09-30,2006
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,32429,18733,182,0,13514,1075,614,160,0,301,31354,18119,22,13213,09/30/06,2006-09-30,2006
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,9500,4314,25,10,5151,148,86,21,10,31,9352,4228,4,5120,09/30/06,2006-09-30,2006
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,8533,2300,21,11,6201,121,50,18,11,42,8412,2250,3,6159,09/30/06,2006-09-30,2006
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,670,340,15,0,315,32,16,14,0,2,638,324,1,313,09/30/07,2007-09-30,2007
MAINE,MAINE,ME,FIRST CIRCUIT,2143,1687,15,1,440,130,96,15,1,18,2013,1591,0,422,09/30/07,2007-09-30,2007
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,13011,8463,156,2,4390,339,191,138,2,8,12672,8272,18,4382,09/30/07,2007-09-30,2007
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,2804,1977,21,3,803,331,228,20,3,80,2473,1749,1,723,09/30/07,2007-09-30,2007
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,2521,1931,11,0,579,82,66,10,0,6,2439,1865,1,573,09/30/07,2007-09-30,2007
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,7502,1735,86,8,5673,256,83,73,8,92,7246,1652,13,5581,09/30/07,2007-09-30,2007
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,5572,3919,65,1,1587,210,139,59,1,11,5362,3780,6,1576,09/30/07,2007-09-30,2007
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,11262,7658,38,15,3551,270,151,37,15,67,10992,7507,1,3484,09/30/07,2007-09-30,2007
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,11800,8591,175,0,3034,348,163,164,0,21,11452,8428,11,3013,09/30/07,2007-09-30,2007
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,7251,5461,265,0,1492,475,181,249,0,13,6776,5280,16,1479,09/30/07,2007-09-30,2007
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,8510,5887,29,4,2588,217,146,26,4,39,8293,5741,3,2549,09/30/07,2007-09-30,2007
VERMONT,VERMONT,VT,SECOND CIRCUIT,849,608,1,3,237,67,44,1,3,19,782,564,0,218,09/30/07,2007-09-30,2007
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,1897,947,220,0,727,288,62,219,0,4,1609,885,1,723,09/30/07,2007-09-30,2007
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,18702,11388,387,3,6924,802,381,360,3,58,17900,11007,27,6866,09/30/07,2007-09-30,2007
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,9778,4992,66,0,4720,274,172,63,0,39,9504,4820,3,4681,09/30/07,2007-09-30,2007
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,7332,4506,27,8,2791,197,109,27,8,53,7135,4397,0,2738,09/30/07,2007-09-30,2007
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,12001,8035,136,7,3823,464,249,127,7,81,11537,7786,9,3742,09/30/07,2007-09-30,2007
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,25,16,5,0,4,11,6,5,0,0,14,10,0,4,09/30/07,2007-09-30,2007
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,12509,6448,135,1,5925,389,225,105,1,58,12120,6223,30,5867,09/30/07,2007-09-30,2007
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,7703,2974,52,3,4674,182,99,49,3,31,7521,2875,3,4643,09/30/07,2007-09-30,2007
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,5907,2554,25,3,3325,182,102,25,3,52,5725,2452,0,3273,09/30/07,2007-09-30,2007
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,5810,3162,47,0,2601,166,121,39,0,6,5644,3041,8,2595,09/30/07,2007-09-30,2007
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,7139,2292,49,1,4795,124,78,38,1,6,7015,2214,11,4789,09/30/07,2007-09-30,2007
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,12528,7026,84,2,5416,363,264,69,2,28,12165,6762,15,5388,09/30/07,2007-09-30,2007
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,5365,3415,12,1,1937,144,120,12,1,11,5221,3295,0,1926,09/30/07,2007-09-30,2007
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,1646,1429,8,1,208,82,66,7,1,8,1564,1363,1,200,09/30/07,2007-09-30,2007
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,2584,2307,18,1,258,55,38,15,1,1,2529,2269,3,257,09/30/07,2007-09-30,2007
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,2523,1262,23,10,1228,90,60,18,10,2,2433,1202,5,1226,09/30/07,2007-09-30,2007
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,1785,846,10,0,929,40,25,10,0,5,1745,821,0,924,09/30/07,2007-09-30,2007
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,9226,2529,62,26,6609,337,80,59,26,172,8889,2449,3,6437,09/30/07,2007-09-30,2007
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,4807,2167,15,5,2620,123,86,15,5,17,4684,2081,0,2603,09/30/07,2007-09-30,2007
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,5982,2540,30,5,3406,123,74,27,5,16,5859,2466,3,3390,09/30/07,2007-09-30,2007
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,14917,6004,189,5,8719,836,522,185,5,124,14081,5482,4,8595,09/30/07,2007-09-30,2007
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,5775,2950,44,9,2772,363,281,41,9,32,5412,2669,3,2740,09/30/07,2007-09-30,2007
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,12551,5037,174,9,7330,655,414,164,9,67,11896,4623,10,7263,09/30/07,2007-09-30,2007
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,9244,4541,94,3,4606,486,327,90,3,66,8758,4214,4,4540,09/30/07,2007-09-30,2007
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,7281,5117,33,1,2130,145,99,33,1,12,7136,5018,0,2118,09/30/07,2007-09-30,2007
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,8935,6231,14,1,2689,125,90,14,1,20,8810,6141,0,2669,09/30/07,2007-09-30,2007
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,33799,22301,140,12,11346,739,551,130,12,46,33060,21750,10,11300,09/30/07,2007-09-30,2007
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,10007,8125,32,3,1847,371,301,32,3,35,9636,7824,0,1812,09/30/07,2007-09-30,2007
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,26417,18089,63,0,8265,663,493,59,0,111,25754,17596,4,8154,09/30/07,2007-09-30,2007
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,22110,13852,64,2,8192,566,388,62,2,114,21544,13464,2,8078,09/30/07,2007-09-30,2007
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,11377,5996,34,3,5344,200,141,31,3,25,11177,5855,3,5319,09/30/07,2007-09-30,2007
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,9476,4279,82,5,5110,191,111,60,5,15,9285,4168,22,5095,09/30/07,2007-09-30,2007
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,16926,3812,38,1,13075,157,97,29,1,30,16769,3715,9,13045,09/30/07,2007-09-30,2007
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,26807,16997,160,0,9650,650,490,144,0,16,26157,16507,16,9634,09/30/07,2007-09-30,2007
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,7257,5478,22,2,1755,180,138,21,2,19,7077,5340,1,1736,09/30/07,2007-09-30,2007
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,5083,2450,9,4,2620,121,64,9,4,44,4962,2386,0,2576,09/30/07,2007-09-30,2007
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,11231,8090,50,4,3087,196,136,43,4,13,11035,7954,7,3074,09/30/07,2007-09-30,2007
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,18425,12207,54,3,6160,330,247,48,3,31,18095,11960,6,6129,09/30/07,2007-09-30,2007
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,9947,7057,20,4,2866,203,160,18,4,21,9744,6897,2,2845,09/30/07,2007-09-30,2007
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,5005,4154,21,14,816,179,120,16,14,29,4826,4034,5,787,09/30/07,2007-09-30,2007
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,7344,3440,22,9,3873,191,124,19,9,39,7153,3316,3,3834,09/30/07,2007-09-30,2007
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,4150,2219,22,3,1906,155,102,22,3,28,3995,2117,0,1878,09/30/07,2007-09-30,2007
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,2354,2177,5,4,168,110,97,5,4,4,2244,2080,0,164,09/30/07,2007-09-30,2007
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,4306,3709,7,1,589,121,103,7,1,10,4185,3606,0,579,09/30/07,2007-09-30,2007
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,11139,8749,42,9,2339,507,427,41,9,30,10632,8322,1,2309,09/30/07,2007-09-30,2007
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,9919,6145,16,3,3755,153,119,15,3,16,9766,6026,1,3739,09/30/07,2007-09-30,2007
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,10222,7074,32,4,3112,177,119,31,4,23,10045,6955,1,3089,09/30/07,2007-09-30,2007
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,5204,3569,20,12,1603,203,153,17,12,21,5001,3416,3,1582,09/30/07,2007-09-30,2007
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,1090,951,1,6,132,58,45,1,6,6,1032,906,0,126,09/30/07,2007-09-30,2007
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,1302,1097,4,1,200,84,62,4,1,17,1218,1035,0,183,09/30/07,2007-09-30,2007
ALASKA,ALASKA,AK,NINTH CIRCUIT,696,562,13,1,120,64,40,13,1,10,632,522,0,110,09/30/07,2007-09-30,2007
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,9749,7405,202,0,2141,398,192,183,0,22,9351,7213,19,2119,09/30/07,2007-09-30,2007
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,11214,6416,169,2,4624,611,381,114,2,111,10603,6035,55,4513,09/30/07,2007-09-30,2007
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,15594,11328,84,11,4170,691,471,73,11,135,14903,10857,11,4035,09/30/07,2007-09-30,2007
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,29106,22196,287,0,6621,1507,1166,249,0,90,27599,21030,38,6531,09/30/07,2007-09-30,2007
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,7037,5497,43,0,1497,304,247,38,0,19,6733,5250,5,1478,09/30/07,2007-09-30,2007
HAWAII,HAWAII,HI,NINTH CIRCUIT,1281,1035,14,1,230,46,28,13,1,4,1235,1007,1,226,09/30/07,2007-09-30,2007
IDAHO,IDAHO,ID,NINTH CIRCUIT,3716,2961,18,6,731,99,69,16,6,8,3617,2892,2,723,09/30/07,2007-09-30,2007
MONTANA,MONTANA,MT,NINTH CIRCUIT,1934,1597,12,8,317,53,34,10,8,1,1881,1563,2,316,09/30/07,2007-09-30,2007
NEVADA,NEVADA,NV,NINTH CIRCUIT,9445,5747,103,0,3595,273,161,98,0,14,9172,5586,5,3581,09/30/07,2007-09-30,2007
OREGON,OREGON,OR,NINTH CIRCUIT,8993,6572,26,2,2393,281,191,22,2,66,8712,6381,4,2327,09/30/07,2007-09-30,2007
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,4192,3154,21,3,1014,151,98,19,3,31,4041,3056,2,983,09/30/07,2007-09-30,2007
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,10440,7141,77,4,3218,294,185,63,4,42,10146,6956,14,3176,09/30/07,2007-09-30,2007
GUAM,GUAM,GUAM,NINTH CIRCUIT,126,113,2,0,11,7,5,2,0,0,119,108,0,11,09/30/07,2007-09-30,2007
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,18,16,0,0,2,3,3,0,0,0,15,13,0,2,09/30/07,2007-09-30,2007
COLORADO,COLORADO,CO,TENTH CIRCUIT,14238,11855,73,1,2309,586,480,68,1,37,13652,11375,5,2272,09/30/07,2007-09-30,2007
KANSAS,KANSAS,KS,TENTH CIRCUIT,7730,5145,24,21,2540,219,138,23,21,37,7511,5007,1,2503,09/30/07,2007-09-30,2007
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,3232,2822,25,3,381,127,91,22,3,10,3105,2731,3,371,09/30/07,2007-09-30,2007
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,2648,2254,3,0,391,127,113,2,0,12,2521,2141,1,379,09/30/07,2007-09-30,2007
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,1477,1198,24,2,251,72,42,23,2,3,1405,1156,1,248,09/30/07,2007-09-30,2007
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,4841,3479,26,7,1329,166,124,26,7,9,4675,3355,0,1320,09/30/07,2007-09-30,2007
UTAH,UTAH,UT,TENTH CIRCUIT,6182,3688,21,1,2472,159,113,20,1,25,6023,3575,1,2447,09/30/07,2007-09-30,2007
WYOMING,WYOMING,WY,TENTH CIRCUIT,784,645,6,0,133,34,26,6,0,2,750,619,0,131,09/30/07,2007-09-30,2007
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,14159,5641,67,5,8446,158,79,53,5,21,14001,5562,14,8425,09/30/07,2007-09-30,2007
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,5274,1384,18,4,3868,90,54,15,4,17,5184,1330,3,3851,09/30/07,2007-09-30,2007
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,3743,994,21,1,2727,42,18,18,1,5,3701,976,3,2722,09/30/07,2007-09-30,2007
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,2688,1927,21,3,737,119,88,17,3,11,2569,1839,4,726,09/30/07,2007-09-30,2007
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,23027,13657,202,6,9162,883,625,182,6,70,22144,13032,20,9092,09/30/07,2007-09-30,2007
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,10857,7451,230,2,3172,669,430,210,2,26,10188,7021,20,3146,09/30/07,2007-09-30,2007
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,30768,14535,222,0,16011,1096,598,197,0,301,29672,13937,25,15710,09/30/07,2007-09-30,2007
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,9217,3196,13,7,6001,146,99,12,7,28,9071,3097,1,5973,09/30/07,2007-09-30,2007
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,8119,1562,25,9,6523,142,83,24,9,26,7977,1479,1,6497,09/30/07,2007-09-30,2007
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,863,434,34,0,395,47,16,29,0,2,816,418,5,393,09/30/08,2008-09-30,2008
MAINE,MAINE,ME,FIRST CIRCUIT,2800,2273,17,8,502,173,135,16,8,14,2627,2138,1,488,09/30/08,2008-09-30,2008
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,15636,11525,149,4,3957,340,189,130,4,16,15296,11336,19,3941,09/30/08,2008-09-30,2008
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,3676,2775,27,1,873,351,262,23,1,65,3325,2513,4,808,09/30/08,2008-09-30,2008
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,3919,3210,11,0,698,132,109,11,0,12,3787,3101,0,686,09/30/08,2008-09-30,2008
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,8645,2101,109,22,6413,328,118,98,22,90,8317,1983,11,6323,09/30/08,2008-09-30,2008
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,7706,5794,146,2,1764,397,245,135,2,15,7309,5549,11,1749,09/30/08,2008-09-30,2008
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,10911,7839,40,6,3023,248,144,38,6,57,10663,7695,2,2966,09/30/08,2008-09-30,2008
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,15552,11665,146,0,3741,423,273,128,0,22,15129,11392,18,3719,09/30/08,2008-09-30,2008
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,9537,7163,496,0,1869,741,226,482,0,24,8796,6937,14,1845,09/30/08,2008-09-30,2008
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,9113,6435,47,5,2621,272,182,46,5,34,8841,6253,1,2587,09/30/08,2008-09-30,2008
VERMONT,VERMONT,VT,SECOND CIRCUIT,1155,854,2,2,297,46,31,1,2,12,1109,823,1,285,09/30/08,2008-09-30,2008
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,2827,1379,603,1,830,729,101,603,1,10,2098,1278,0,820,09/30/08,2008-09-30,2008
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,24764,16523,334,0,7907,993,625,301,0,67,23771,15898,33,7840,09/30/08,2008-09-30,2008
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,11023,6385,95,1,4542,372,234,90,1,47,10651,6151,5,4495,09/30/08,2008-09-30,2008
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,8480,5624,55,2,2799,259,144,54,2,59,8221,5480,1,2740,09/30/08,2008-09-30,2008
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,12737,9010,147,6,3574,519,322,135,6,56,12218,8688,12,3518,09/30/08,2008-09-30,2008
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,15,10,2,0,3,4,2,2,0,0,11,8,0,3,09/30/08,2008-09-30,2008
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,16926,10302,228,1,6395,525,318,165,1,41,16401,9984,63,6354,09/30/08,2008-09-30,2008
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,8956,3374,117,7,5458,334,192,104,7,31,8622,3182,13,5427,09/30/08,2008-09-30,2008
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,6264,2995,22,2,3245,280,203,22,2,53,5984,2792,0,3192,09/30/08,2008-09-30,2008
