DATE,DISTRICT_NS,STATE,DISTRICT,CIRCUIT,CIRCUIT_NUM,CHAP_12_j,CHAP_12_j_q,CHAP_12_q,CHAP_12_impute,impute,YEAR,FISCAL_YEAR
2011-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1,1,1,1,2011,2011
2011-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1,1,1,1,2011,2011
2011-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,4,1,1,1,1,2011,2011
2011-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.5,1,1,1,2011,2012
2012-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.5,0,0,0,2012,2012
2012-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.5,1,1,1,2012,2012
2012-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,2,0.5,0,0,0,2012,2012
2012-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1,0,0,0,2012,2013
2013-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1,0,0,0,2013,2013
2013-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1,3,3,3,2013,2013
2013-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,4,1,1,1,1,2013,2013
2013-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0,0,0,0,2013,2014
2014-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0,0,0,0,2014,2014
2014-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0,0,0,0,2014,2014
2014-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,0,0,0,0,0,2014,2014
2014-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1.25,1,1,1,2014,2015
2015-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1.25,1,1,1,2015,2015
2015-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1.25,2,2,2,2015,2015
2015-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,5,1.25,1,1,1,2015,2015
2015-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0,0,0,0,2015,2016
2016-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0,0,0,0,2016,2016
2016-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0,0,0,0,2016,2016
2016-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,0,0,0,0,0,2016,2016
2016-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,10.75,1,1,1,2016,2017
2017-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,10.75,0,0,0,2017,2017
2017-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,10.75,0,0,0,2017,2017
2017-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,10.75,1,1,1,2017,2017
2017-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,10.75,0,0,0,2017,2018
2018-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,10.75,0,0,0,2018,2018
2018-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,10.75,0,0,0,2018,2018
1986-12-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,10.75,NA,10.75,NA,1986,1987
1987-03-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,10.75,NA,10.75,23,1987,1987
1987-06-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,10.75,NA,10.75,26,1987,1987
1987-09-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,43,10.75,NA,10.75,3,1987,1987
1987-12-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,4.75,NA,4.75,3.5,1987,1988
1988-03-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,4.75,NA,4.75,3.5,1988,1988
1988-06-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,4.75,NA,4.75,12,1988,1988
1988-09-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,19,4.75,NA,4.75,0,1988,1988
1988-12-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,2.5,NA,2.5,-1.5,1988,1989
1989-03-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,2.5,NA,2.5,-1.5,1989,1989
1989-06-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,2.5,NA,2.5,10,1989,1989
1989-09-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,10,2.5,NA,2.5,3,1989,1989
1989-12-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,2.5,NA,2.5,2,1989,1990
1990-03-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,2.5,NA,2.5,-7,1990,1990
1990-06-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,2.5,NA,2.5,12,1990,1990
1990-09-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,10,2.5,NA,2.5,3,1990,1990
1990-12-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,3.75,NA,3.75,4,1990,1991
1991-03-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,3.75,NA,3.75,-9,1991,1991
1991-06-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,3.75,NA,3.75,12,1991,1991
1991-09-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,15,3.75,NA,3.75,8,1991,1991
1991-12-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,1.75,NA,1.75,4,1991,1992
1992-03-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,1.75,NA,1.75,-8,1992,1992
1992-06-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,1.75,NA,1.75,11,1992,1992
1992-09-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,7,1.75,NA,1.75,0,1992,1992
1992-12-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,2.5,NA,2.5,0,1992,1993
1993-03-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,2.5,NA,2.5,5,1993,1993
1993-06-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,2.5,NA,2.5,1,1993,1993
1993-09-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,10,2.5,NA,2.5,4,1993,1993
1993-12-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,1.25,NA,1.25,0,1993,1994
1994-03-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,1.25,NA,1.25,2,1994,1994
1994-06-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,1.25,NA,1.25,0,1994,1994
1994-09-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,5,1.25,NA,1.25,3,1994,1994
1994-12-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,1.75,NA,1.75,1,1994,1995
1995-03-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,1.75,NA,1.75,1,1995,1995
1995-06-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,1.75,NA,1.75,3,1995,1995
1995-09-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,7,1.75,NA,1.75,2,1995,1995
1995-12-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,0.75,0,0,0,1995,1996
1996-03-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,0.75,1,1,1,1996,1996
1996-06-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,0.75,2,2,2,1996,1996
1996-09-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,3,0.75,0,0,0,1996,1996
1996-12-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,0.5,0,0,0,1996,1997
1997-03-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,0.5,2,2,2,1997,1997
1997-06-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,0.5,0,0,0,1997,1997
1997-09-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,2,0.5,0,0,0,1997,1997
1997-12-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,1.25,1,1,1,1997,1998
1998-03-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,1.25,2,2,2,1998,1998
1998-06-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,1.25,1,1,1,1998,1998
1998-09-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,5,1.25,1,1,1,1998,1998
1998-12-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,1,1,1,1,1998,1999
1999-03-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,1,1,1,1,1999,1999
1999-06-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,1,2,2,2,1999,1999
1999-09-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,4,1,0,0,0,1999,1999
1999-12-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,0.75,0,0,0,1999,2e3
2000-03-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,0.75,1,1,1,2e3,2e3
2000-06-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,0.75,2,2,2,2e3,2e3
2000-09-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,3,0.75,0,0,0,2e3,2e3
2000-12-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,0.75,0,0,0,2e3,2001
2001-03-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,0.75,0,0,0,2001,2001
2001-06-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,0.75,0,0,0,2001,2001
2001-09-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,3,0.75,3,3,3,2001,2001
2001-12-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,0.75,0,0,0,2001,2002
2002-03-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,0.75,1,1,1,2002,2002
2002-06-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,0.75,2,2,2,2002,2002
2002-09-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,3,0.75,0,0,0,2002,2002
2002-12-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,0.5,0,0,0,2002,2003
2003-03-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,0.5,1,1,1,2003,2003
2003-06-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,0.5,0,0,0,2003,2003
2003-09-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,2,0.5,1,1,1,2003,2003
2003-12-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,0,0,0,0,2003,2004
2004-03-31,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,0,0,0,0,2004,2004
2004-06-30,ALN,ALABAMA,ALABAMA NORTHERN,ELEVENTH CIRCUIT,11TH,NA,0,0,0,0,2004,2004
